               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.066375,            0.042693,             0.01528,             0.48433,             0.58145,             0.46913,              0.2363,            0.046648,            0.024422,            0.016769,            0.006535,            0.006535,            0.006535
                  37,            0.053834,            0.040859,            0.015311,             0.41884,              0.6595,             0.52658,             0.21935,            0.049746,            0.021256,            0.016615,            0.006436,            0.006436,            0.006436
                  38,            0.052552,            0.037749,            0.017752,             0.48152,             0.64518,              0.5635,              0.2826,            0.046006,            0.021963,            0.016815,            0.006337,            0.006337,            0.006337
                  39,            0.048107,            0.043377,            0.016752,              0.5081,             0.55204,             0.55462,             0.27518,            0.052057,            0.025626,            0.017192,            0.006238,            0.006238,            0.006238
                  40,            0.056836,            0.040825,              0.0155,             0.65087,             0.61614,             0.65636,             0.31606,            0.043651,            0.024865,            0.017511,            0.006139,            0.006139,            0.006139
                  41,             0.04992,            0.039063,            0.013032,              0.4322,             0.61086,             0.51225,             0.24488,             0.04746,            0.023348,            0.018282,             0.00604,             0.00604,             0.00604
                  42,            0.049415,            0.037566,             0.01381,             0.64116,             0.61359,             0.61451,              0.2857,            0.043243,            0.022413,            0.018118,            0.005941,            0.005941,            0.005941
                  43,            0.044231,            0.038422,            0.012335,             0.41026,              0.6595,             0.53515,             0.26378,            0.049547,            0.021004,            0.018854,            0.005842,            0.005842,            0.005842
                  44,            0.053479,            0.037748,            0.012604,             0.63024,             0.66382,             0.68597,              0.3315,            0.042019,            0.021378,            0.017821,            0.005743,            0.005743,            0.005743
                  45,            0.048892,             0.03706,            0.011866,             0.56079,             0.47834,             0.55089,              0.2595,             0.04506,            0.020549,            0.017544,            0.005644,            0.005644,            0.005644
                  46,            0.047728,            0.039603,            0.013531,             0.58465,             0.73182,             0.67265,             0.33083,            0.038751,            0.021558,             0.01837,            0.005545,            0.005545,            0.005545
                  47,            0.042298,            0.035665,            0.012127,              0.3913,             0.60068,              0.5282,             0.22487,            0.047499,            0.020051,            0.016588,            0.005446,            0.005446,            0.005446
                  48,            0.047484,            0.036625,            0.013577,              0.6166,              0.6595,             0.71443,             0.31709,            0.041122,            0.020826,            0.015895,            0.005347,            0.005347,            0.005347
                  49,            0.047409,            0.039355,            0.011508,             0.57868,             0.60068,             0.61635,             0.29341,            0.045536,            0.019526,            0.016218,            0.005248,            0.005248,            0.005248
